accuracy,alpha,batch_neg,batch_pos,embed_dim,hidden_dim,learning_rate,train_size,trial
0.504,1e-05,64,40,2,2,0.0001,104,1
0.504,1e-05,109,95,2,2,0.0001,204,1
0.502,1e-05,158,146,2,2,0.0001,304,1
0.502,1e-05,215,189,2,2,0.0001,404,1
0.502,1e-05,258,246,2,2,0.0001,504,1
0.502,1e-05,304,300,2,2,0.0001,604,1
0.502,1e-05,349,355,2,2,0.0001,704,1
0.502,1e-05,404,400,2,2,0.0001,804,1
0.502,1e-05,453,451,2,2,0.0001,904,1
0.502,1e-05,502,502,2,2,0.0001,1004,1
0.502,1e-05,548,556,2,2,0.0001,1104,1
0.502,1e-05,593,611,2,2,0.0001,1204,1
0.502,1e-05,635,669,2,2,0.0001,1304,1
0.504,1e-05,684,720,2,2,0.0001,1404,1
0.504,1e-05,739,765,2,2,0.0001,1504,1
0.504,1e-05,785,819,2,2,0.0001,1604,1
0.504,1e-05,841,863,2,2,0.0001,1704,1
0.504,1e-05,892,912,2,2,0.0001,1804,1
0.504,1e-05,943,961,2,2,0.0001,1904,1
0.504,1e-05,992,1012,2,2,0.0001,2004,1
0.52,1e-05,54,50,2,2,0.0001,104,2
0.52,1e-05,101,103,2,2,0.0001,204,2
0.52,1e-05,154,150,2,2,0.0001,304,2
0.52,1e-05,199,205,2,2,0.0001,404,2
0.52,1e-05,251,253,2,2,0.0001,504,2
0.52,1e-05,291,313,2,2,0.0001,604,2
0.52,1e-05,337,367,2,2,0.0001,704,2
0.518,1e-05,394,410,2,2,0.0001,804,2
0.518,1e-05,436,468,2,2,0.0001,904,2
0.518,1e-05,491,513,2,2,0.0001,1004,2
0.518,1e-05,546,558,2,2,0.0001,1104,2
0.518,1e-05,578,626,2,2,0.0001,1204,2
0.518,1e-05,633,671,2,2,0.0001,1304,2
0.518,1e-05,691,713,2,2,0.0001,1404,2
0.516,1e-05,737,767,2,2,0.0001,1504,2
0.516,1e-05,800,804,2,2,0.0001,1604,2
0.516,1e-05,861,843,2,2,0.0001,1704,2
0.518,1e-05,909,895,2,2,0.0001,1804,2
0.518,1e-05,969,935,2,2,0.0001,1904,2
0.518,1e-05,1014,990,2,2,0.0001,2004,2
0.518,1e-05,54,50,2,2,0.0001,104,3
0.518,1e-05,113,91,2,2,0.0001,204,3
0.518,1e-05,152,152,2,2,0.0001,304,3
0.518,1e-05,204,200,2,2,0.0001,404,3
0.518,1e-05,249,255,2,2,0.0001,504,3
0.518,1e-05,294,310,2,2,0.0001,604,3
0.518,1e-05,349,355,2,2,0.0001,704,3
0.518,1e-05,405,399,2,2,0.0001,804,3
0.518,1e-05,452,452,2,2,0.0001,904,3
0.518,1e-05,499,505,2,2,0.0001,1004,3
0.518,1e-05,556,548,2,2,0.0001,1104,3
0.518,1e-05,613,591,2,2,0.0001,1204,3
0.518,1e-05,660,644,2,2,0.0001,1304,3
0.518,1e-05,703,701,2,2,0.0001,1404,3
0.518,1e-05,752,752,2,2,0.0001,1504,3
0.518,1e-05,801,803,2,2,0.0001,1604,3
0.518,1e-05,855,849,2,2,0.0001,1704,3
0.518,1e-05,905,899,2,2,0.0001,1804,3
0.518,1e-05,962,942,2,2,0.0001,1904,3
0.518,1e-05,1011,993,2,2,0.0001,2004,3
0.534,1e-05,57,47,2,2,0.0001,104,4
0.534,1e-05,100,104,2,2,0.0001,204,4
0.534,1e-05,150,154,2,2,0.0001,304,4
0.534,1e-05,211,193,2,2,0.0001,404,4
0.534,1e-05,255,249,2,2,0.0001,504,4
0.534,1e-05,302,302,2,2,0.0001,604,4
0.534,1e-05,353,351,2,2,0.0001,704,4
0.534,1e-05,403,401,2,2,0.0001,804,4
0.534,1e-05,454,450,2,2,0.0001,904,4
0.534,1e-05,506,498,2,2,0.0001,1004,4
0.534,1e-05,555,549,2,2,0.0001,1104,4
0.534,1e-05,605,599,2,2,0.0001,1204,4
0.534,1e-05,655,649,2,2,0.0001,1304,4
0.534,1e-05,706,698,2,2,0.0001,1404,4
0.534,1e-05,753,751,2,2,0.0001,1504,4
0.534,1e-05,802,802,2,2,0.0001,1604,4
0.534,1e-05,853,851,2,2,0.0001,1704,4
0.534,1e-05,910,894,2,2,0.0001,1804,4
0.534,1e-05,963,941,2,2,0.0001,1904,4
0.534,1e-05,1019,985,2,2,0.0001,2004,4
0.484,1e-05,46,58,2,2,0.0001,104,5
0.484,1e-05,99,105,2,2,0.0001,204,5
0.484,1e-05,145,159,2,2,0.0001,304,5
0.484,1e-05,199,205,2,2,0.0001,404,5
0.484,1e-05,251,253,2,2,0.0001,504,5
0.484,1e-05,294,310,2,2,0.0001,604,5
0.484,1e-05,352,352,2,2,0.0001,704,5
0.484,1e-05,401,403,2,2,0.0001,804,5
0.484,1e-05,454,450,2,2,0.0001,904,5
0.484,1e-05,506,498,2,2,0.0001,1004,5
0.484,1e-05,563,541,2,2,0.0001,1104,5
0.484,1e-05,616,588,2,2,0.0001,1204,5
0.484,1e-05,664,640,2,2,0.0001,1304,5
0.482,1e-05,714,690,2,2,0.0001,1404,5
0.482,1e-05,764,740,2,2,0.0001,1504,5
0.482,1e-05,807,797,2,2,0.0001,1604,5
0.482,1e-05,855,849,2,2,0.0001,1704,5
0.48,1e-05,903,901,2,2,0.0001,1804,5
