trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
1,4,2,2,1e-05,0.0001,0.47600000000000003,4
2,4,2,2,1e-05,0.0001,0.5,4
3,4,2,2,1e-05,0.0001,0.49200000000000005,4
4,4,2,2,1e-05,0.0001,0.5,4
5,4,2,2,1e-05,0.0001,0.508,4
6,4,2,2,1e-05,0.0001,0.5,4
7,4,2,2,1e-05,0.0001,0.5,4
8,4,2,2,1e-05,0.0001,0.5,4
9,4,2,2,1e-05,0.0001,0.5,4
10,4,2,2,1e-05,0.0001,0.5,4
11,4,2,2,1e-05,0.0001,0.484,4
12,4,2,2,1e-05,0.0001,0.5,4
13,4,2,2,1e-05,0.0001,0.5,4
14,4,2,2,1e-05,0.0001,0.5,4
15,4,2,2,1e-05,0.0001,0.5,4
16,4,2,2,1e-05,0.0001,0.5,4
17,4,2,2,1e-05,0.0001,0.5,4
18,4,2,2,1e-05,0.0001,0.5,4
19,4,2,2,1e-05,0.0001,0.5,4
20,4,2,2,1e-05,0.0001,0.532,4
1,40,2,2,1e-05,0.0001,0.47600000000000003,18
2,40,2,2,1e-05,0.0001,0.5,19
3,40,2,2,1e-05,0.0001,0.49200000000000005,22
4,40,2,2,1e-05,0.0001,0.5,15
5,40,2,2,1e-05,0.0001,0.508,17
6,40,2,2,1e-05,0.0001,0.5,28
7,40,2,2,1e-05,0.0001,0.5,21
8,40,2,2,1e-05,0.0001,0.5,21
9,40,2,2,1e-05,0.0001,0.5,20
10,40,2,2,1e-05,0.0001,0.5,22
11,40,2,2,1e-05,0.0001,0.484,21
12,40,2,2,1e-05,0.0001,0.5,19
13,40,2,2,1e-05,0.0001,0.5,19
14,40,2,2,1e-05,0.0001,0.5,19
15,40,2,2,1e-05,0.0001,0.5,29
16,40,2,2,1e-05,0.0001,0.5,26
17,40,2,2,1e-05,0.0001,0.5,19
18,40,2,2,1e-05,0.0001,0.5,13
19,40,2,2,1e-05,0.0001,0.5,13
20,40,2,2,1e-05,0.0001,0.532,17
1,104,2,2,1e-05,0.0001,0.47600000000000003,56
2,104,2,2,1e-05,0.0001,0.5,52
3,104,2,2,1e-05,0.0001,0.49200000000000005,57
4,104,2,2,1e-05,0.0001,0.5,44
5,104,2,2,1e-05,0.0001,0.508,49
6,104,2,2,1e-05,0.0001,0.5,55
7,104,2,2,1e-05,0.0001,0.5,59
8,104,2,2,1e-05,0.0001,0.5,56
9,104,2,2,1e-05,0.0001,0.5,51
10,104,2,2,1e-05,0.0001,0.5,54
11,104,2,2,1e-05,0.0001,0.484,51
12,104,2,2,1e-05,0.0001,0.5,43
13,104,2,2,1e-05,0.0001,0.5,57
14,104,2,2,1e-05,0.0001,0.5,47
15,104,2,2,1e-05,0.0001,0.5,68
16,104,2,2,1e-05,0.0001,0.5,58
17,104,2,2,1e-05,0.0001,0.5,56
18,104,2,2,1e-05,0.0001,0.5,42
19,104,2,2,1e-05,0.0001,0.5,47
20,104,2,2,1e-05,0.0001,0.532,49
1,5104,2,2,1e-05,0.0001,0.48200000000000004,2525
2,5104,2,2,1e-05,0.0001,0.5,2555
3,5104,2,2,1e-05,0.0001,0.49200000000000005,2517
4,5104,2,2,1e-05,0.0001,0.5,2536
5,5104,2,2,1e-05,0.0001,0.508,2583
6,5104,2,2,1e-05,0.0001,0.5,2512
7,5104,2,2,1e-05,0.0001,0.5,2533
8,5104,2,2,1e-05,0.0001,0.5,2549
9,5104,2,2,1e-05,0.0001,0.5,2521
10,5104,2,2,1e-05,0.0001,0.5,2581
11,5104,2,2,1e-05,0.0001,0.484,2523
12,5104,2,2,1e-05,0.0001,0.5,2612
13,5104,2,2,1e-05,0.0001,0.5,2578
14,5104,2,2,1e-05,0.0001,0.5,2569
15,5104,2,2,1e-05,0.0001,0.5,2516
16,5104,2,2,1e-05,0.0001,0.5,2533
17,5104,2,2,1e-05,0.0001,0.5,2487
18,5104,2,2,1e-05,0.0001,0.5,2544
19,5104,2,2,1e-05,0.0001,0.5,2550
20,5104,2,2,1e-05,0.0001,0.536,2560
1,10104,2,2,1e-05,0.0001,0.48200000000000004,5084
2,10104,2,2,1e-05,0.0001,0.5,5073
3,10104,2,2,1e-05,0.0001,0.49,5002
4,10104,2,2,1e-05,0.0001,0.5,4976
5,10104,2,2,1e-05,0.0001,0.508,5132
6,10104,2,2,1e-05,0.0001,0.5,5040
7,10104,2,2,1e-05,0.0001,0.5,5036
8,10104,2,2,1e-05,0.0001,0.5,5066
9,10104,2,2,1e-05,0.0001,0.5,4959
10,10104,2,2,1e-05,0.0001,0.5,5041
11,10104,2,2,1e-05,0.0001,0.488,5029
12,10104,2,2,1e-05,0.0001,0.5,5091
13,10104,2,2,1e-05,0.0001,0.5,5053
14,10104,2,2,1e-05,0.0001,0.5,5008
15,10104,2,2,1e-05,0.0001,0.5,4959
16,10104,2,2,1e-05,0.0001,0.5,5069
17,10104,2,2,1e-05,0.0001,0.5,4996
18,10104,2,2,1e-05,0.0001,0.5,5064
19,10104,2,2,1e-05,0.0001,0.5,5062
20,10104,2,2,1e-05,0.0001,0.5379999999999999,5035
1,15104,2,2,1e-05,0.0001,0.48,7586
2,15104,2,2,1e-05,0.0001,0.5,7547
3,15104,2,2,1e-05,0.0001,0.486,7493
4,15104,2,2,1e-05,0.0001,0.5,7546
5,15104,2,2,1e-05,0.0001,0.508,7595
6,15104,2,2,1e-05,0.0001,0.5,7552
7,15104,2,2,1e-05,0.0001,0.5,7577
8,15104,2,2,1e-05,0.0001,0.5,7573
9,15104,2,2,1e-05,0.0001,0.5,7504
10,15104,2,2,1e-05,0.0001,0.5,7522
11,15104,2,2,1e-05,0.0001,0.49,7534
12,15104,2,2,1e-05,0.0001,0.5,7570
13,15104,2,2,1e-05,0.0001,0.5,7528
14,15104,2,2,1e-05,0.0001,0.5,7490
15,15104,2,2,1e-05,0.0001,0.5,7487
16,15104,2,2,1e-05,0.0001,0.5,7556
17,15104,2,2,1e-05,0.0001,0.5,7514
18,15104,2,2,1e-05,0.0001,0.5,7543
19,15104,2,2,1e-05,0.0001,0.5,7600
20,15104,2,2,1e-05,0.0001,0.54,7530
1,20104,2,2,1e-05,0.0001,0.48,10052
2,20104,2,2,1e-05,0.0001,0.5,9999
3,20104,2,2,1e-05,0.0001,0.48200000000000004,10019
4,20104,2,2,1e-05,0.0001,0.5,10054
