trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos,batch_neg
1,104,10,100,1e-05,0.01,0.494,62,42
1,204,10,100,1e-05,0.01,0.534,120,84
1,304,10,100,1e-05,0.01,0.478,175,129
1,404,10,100,1e-05,0.01,0.532,233,171
1,504,10,100,1e-05,0.01,0.53,284,220
1,604,10,100,1e-05,0.01,0.506,333,271
1,704,10,100,1e-05,0.01,0.52,383,321
1,804,10,100,1e-05,0.01,0.52,426,378
1,904,10,100,1e-05,0.01,0.558,475,429
1,1004,10,100,1e-05,0.01,0.534,520,484
1,1104,10,100,1e-05,0.01,0.514,567,537
1,1204,10,100,1e-05,0.01,0.498,610,594
1,1304,10,100,1e-05,0.01,0.53,666,638
1,1404,10,100,1e-05,0.01,0.558,714,690
1,1504,10,100,1e-05,0.01,0.49,769,735
1,1604,10,100,1e-05,0.01,0.524,811,793
1,1704,10,100,1e-05,0.01,0.512,860,844
1,1804,10,100,1e-05,0.01,0.522,910,894
1,1904,10,100,1e-05,0.01,0.52,955,949
1,2004,10,100,1e-05,0.01,0.552,1007,997
1,2104,10,100,1e-05,0.01,0.56,1056,1048
1,2204,10,100,1e-05,0.01,0.564,1104,1100
1,2304,10,100,1e-05,0.01,0.522,1152,1152
1,2404,10,100,1e-05,0.01,0.626,1202,1202
1,2504,10,100,1e-05,0.01,0.596,1245,1259
1,2604,10,100,1e-05,0.01,0.612,1292,1312
1,2704,10,100,1e-05,0.01,0.642,1347,1357
1,2804,10,100,1e-05,0.01,0.634,1403,1401
1,2904,10,100,1e-05,0.01,0.656,1457,1447
1,3004,10,100,1e-05,0.01,0.664,1508,1496
1,3104,10,100,1e-05,0.01,0.682,1566,1538
1,3204,10,100,1e-05,0.01,0.69,1620,1584
1,3304,10,100,1e-05,0.01,0.702,1666,1638
1,3404,10,100,1e-05,0.01,0.712,1724,1680
1,3504,10,100,1e-05,0.01,0.742,1780,1724
1,3604,10,100,1e-05,0.01,0.724,1826,1778
1,3704,10,100,1e-05,0.01,0.72,1866,1838
1,3804,10,100,1e-05,0.01,0.736,1909,1895
1,3904,10,100,1e-05,0.01,0.754,1951,1953
1,4004,10,100,1e-05,0.01,0.726,1996,2008
1,4104,10,100,1e-05,0.01,0.78,2051,2053
1,4204,10,100,1e-05,0.01,0.79,2105,2099
1,4304,10,100,1e-05,0.01,0.754,2144,2160
1,4404,10,100,1e-05,0.01,0.782,2184,2220
1,4504,10,100,1e-05,0.01,0.79,2235,2269
1,4604,10,100,1e-05,0.01,0.778,2292,2312
1,4704,10,100,1e-05,0.01,0.786,2342,2362
1,4804,10,100,1e-05,0.01,0.802,2396,2408
1,4904,10,100,1e-05,0.01,0.804,2438,2466
1,5004,10,100,1e-05,0.01,0.796,2500,2504
1,5104,10,100,1e-05,0.01,0.806,2557,2547
1,5204,10,100,1e-05,0.01,0.834,2613,2591
1,5304,10,100,1e-05,0.01,0.822,2660,2644
1,5404,10,100,1e-05,0.01,0.81,2703,2701
1,5504,10,100,1e-05,0.01,0.844,2744,2760
1,5604,10,100,1e-05,0.01,0.83,2794,2810
1,5704,10,100,1e-05,0.01,0.826,2845,2859
1,5804,10,100,1e-05,0.01,0.836,2893,2911
1,5904,10,100,1e-05,0.01,0.848,2943,2961
1,6004,10,100,1e-05,0.01,0.828,2988,3016
1,6104,10,100,1e-05,0.01,0.846,3024,3080
1,6204,10,100,1e-05,0.01,0.824,3072,3132
1,6304,10,100,1e-05,0.01,0.832,3116,3188
1,6404,10,100,1e-05,0.01,0.844,3164,3240
1,6504,10,100,1e-05,0.01,0.838,3222,3282
1,6604,10,100,1e-05,0.01,0.864,3269,3335
1,6704,10,100,1e-05,0.01,0.852,3318,3386
1,6804,10,100,1e-05,0.01,0.85,3367,3437
1,6904,10,100,1e-05,0.01,0.876,3418,3486
1,7004,10,100,1e-05,0.01,0.868,3471,3533
1,7104,10,100,1e-05,0.01,0.82,3524,3580
1,7204,10,100,1e-05,0.01,0.854,3569,3635
1,7304,10,100,1e-05,0.01,0.88,3621,3683
1,7404,10,100,1e-05,0.01,0.886,3665,3739
1,7504,10,100,1e-05,0.01,0.876,3721,3783
1,7604,10,100,1e-05,0.01,0.878,3768,3836
1,7704,10,100,1e-05,0.01,0.882,3818,3886
1,7804,10,100,1e-05,0.01,0.876,3871,3933
1,7904,10,100,1e-05,0.01,0.87,3916,3988
1,8004,10,100,1e-05,0.01,0.888,3972,4032
1,8104,10,100,1e-05,0.01,0.882,4024,4080
1,8204,10,100,1e-05,0.01,0.868,4074,4130
1,8304,10,100,1e-05,0.01,0.878,4125,4179
1,8404,10,100,1e-05,0.01,0.87,4178,4226
1,8504,10,100,1e-05,0.01,0.89,4233,4271
1,8604,10,100,1e-05,0.01,0.894,4283,4321
1,8704,10,100,1e-05,0.01,0.906,4333,4371
1,8804,10,100,1e-05,0.01,0.89,4383,4421
