trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos
1,4,2,2,1e-05,0.0001,0.5,4
2,4,2,2,1e-05,0.0001,0.5,4
3,4,2,2,1e-05,0.0001,0.5,4
4,4,2,2,1e-05,0.0001,0.5,4
5,4,2,2,1e-05,0.0001,0.5,4
6,4,2,2,1e-05,0.0001,0.5,4
7,4,2,2,1e-05,0.0001,0.5,4
8,4,2,2,1e-05,0.0001,0.5,4
9,4,2,2,1e-05,0.0001,0.496,4
10,4,2,2,1e-05,0.0001,0.5,4
11,4,2,2,1e-05,0.0001,0.494,4
12,4,2,2,1e-05,0.0001,0.5,4
13,4,2,2,1e-05,0.0001,0.502,4
14,4,2,2,1e-05,0.0001,0.5,4
15,4,2,2,1e-05,0.0001,0.5,4
16,4,2,2,1e-05,0.0001,0.5,4
17,4,2,2,1e-05,0.0001,0.5,4
18,4,2,2,1e-05,0.0001,0.5,4
19,4,2,2,1e-05,0.0001,0.5,4
20,4,2,2,1e-05,0.0001,0.5,4
1,40,2,2,1e-05,0.0001,0.5,22
2,40,2,2,1e-05,0.0001,0.5,23
3,40,2,2,1e-05,0.0001,0.5,26
4,40,2,2,1e-05,0.0001,0.5,18
5,40,2,2,1e-05,0.0001,0.5,16
6,40,2,2,1e-05,0.0001,0.5,18
7,40,2,2,1e-05,0.0001,0.5,16
8,40,2,2,1e-05,0.0001,0.5,21
9,40,2,2,1e-05,0.0001,0.496,20
10,40,2,2,1e-05,0.0001,0.5,25
11,40,2,2,1e-05,0.0001,0.494,22
12,40,2,2,1e-05,0.0001,0.5,19
13,40,2,2,1e-05,0.0001,0.502,18
14,40,2,2,1e-05,0.0001,0.5,23
15,40,2,2,1e-05,0.0001,0.5,24
16,40,2,2,1e-05,0.0001,0.5,19
17,40,2,2,1e-05,0.0001,0.5,18
18,40,2,2,1e-05,0.0001,0.5,22
19,40,2,2,1e-05,0.0001,0.5,17
20,40,2,2,1e-05,0.0001,0.5,22
1,104,2,2,1e-05,0.0001,0.5,53
2,104,2,2,1e-05,0.0001,0.5,59
