accuracy,alpha,batch_neg,batch_pos,embed_dim,equality_pretrain_max_iter,equality_pretraining_accuracy,hidden_dim,learning_rate,max_equality_pretraining_trials,rep_pretrain_max_iter,rep_pretrain_tasks,train_size,trial
0.514,0.0001,0,0,25,10,0.997,50,0.01,1,10,10,0,1
0.598,0.0001,56,48,25,10,0.997,50,0.01,1,10,10,104,1
0.528,0.0001,98,106,25,10,0.997,50,0.01,1,10,10,204,1
0.592,0.0001,149,155,25,10,0.997,50,0.01,1,10,10,304,1
0.632,0.0001,199,205,25,10,0.997,50,0.01,1,10,10,404,1
0.648,0.0001,249,255,25,10,0.997,50,0.01,1,10,10,504,1
0.738,0.0001,289,315,25,10,0.997,50,0.01,1,10,10,604,1
0.774,0.0001,338,366,25,10,0.997,50,0.01,1,10,10,704,1
0.826,0.0001,379,425,25,10,0.997,50,0.01,1,10,10,804,1
0.88,0.0001,431,473,25,10,0.997,50,0.01,1,10,10,904,1
0.88,0.0001,480,524,25,10,0.997,50,0.01,1,10,10,1004,1
0.912,0.0001,536,568,25,10,0.997,50,0.01,1,10,10,1104,1
0.934,0.0001,593,611,25,10,0.997,50,0.01,1,10,10,1204,1
0.952,0.0001,642,662,25,10,0.997,50,0.01,1,10,10,1304,1
0.962,0.0001,697,707,25,10,0.997,50,0.01,1,10,10,1404,1
0.964,0.0001,754,750,25,10,0.997,50,0.01,1,10,10,1504,1
0.97,0.0001,815,789,25,10,0.997,50,0.01,1,10,10,1604,1
0.97,0.0001,867,837,25,10,0.997,50,0.01,1,10,10,1704,1
0.974,0.0001,903,901,25,10,0.997,50,0.01,1,10,10,1804,1
0.976,0.0001,953,951,25,10,0.997,50,0.01,1,10,10,1904,1
0.528,0.0001,0,0,25,10,0.997,50,0.01,1,10,10,0,2
0.61,0.0001,49,55,25,10,0.997,50,0.01,1,10,10,104,2
0.564,0.0001,105,99,25,10,0.997,50,0.01,1,10,10,204,2
0.64,0.0001,151,153,25,10,0.997,50,0.01,1,10,10,304,2
0.684,0.0001,200,204,25,10,0.997,50,0.01,1,10,10,404,2
