trial,train_size,embed_dim,hidden_dim,alpha,learning_rate,accuracy,batch_pos,batch_neg
1,0,2,0,1e-05,0.0001,0.5,0,0
1,104,2,0,1e-05,0.0001,0.5,44,60
1,204,2,0,1e-05,0.0001,0.5,96,108
1,304,2,0,1e-05,0.0001,0.5,145,159
1,404,2,0,1e-05,0.0001,0.5,190,214
1,504,2,0,1e-05,0.0001,0.5,245,259
1,604,2,0,1e-05,0.0001,0.5,297,307
1,704,2,0,1e-05,0.0001,0.5,344,360
1,804,2,0,1e-05,0.0001,0.5,397,407
1,904,2,0,1e-05,0.0001,0.5,451,453
1,1004,2,0,1e-05,0.0001,0.5,504,500
1,1104,2,0,1e-05,0.0001,0.5,541,563
1,1204,2,0,1e-05,0.0001,0.5,590,614
1,1304,2,0,1e-05,0.0001,0.5,633,671
1,1404,2,0,1e-05,0.0001,0.5,683,721
1,1504,2,0,1e-05,0.0001,0.5,738,766
1,1604,2,0,1e-05,0.0001,0.5,791,813
1,1704,2,0,1e-05,0.0001,0.5,847,857
1,1804,2,0,1e-05,0.0001,0.5,906,898
1,1904,2,0,1e-05,0.0001,0.5,952,952
2,0,2,0,1e-05,0.0001,0.5,0,0
2,104,2,0,1e-05,0.0001,0.5,50,54
2,204,2,0,1e-05,0.0001,0.5,97,107
2,304,2,0,1e-05,0.0001,0.5,152,152
2,404,2,0,1e-05,0.0001,0.5,201,203
2,504,2,0,1e-05,0.0001,0.5,240,264
2,604,2,0,1e-05,0.0001,0.5,300,304
2,704,2,0,1e-05,0.0001,0.5,349,355
2,804,2,0,1e-05,0.0001,0.5,399,405
2,904,2,0,1e-05,0.0001,0.5,456,448
2,1004,2,0,1e-05,0.0001,0.5,499,505
2,1104,2,0,1e-05,0.0001,0.5,548,556
2,1204,2,0,1e-05,0.0001,0.5,600,604
2,1304,2,0,1e-05,0.0001,0.5,654,650
2,1404,2,0,1e-05,0.0001,0.5,706,698
2,1504,2,0,1e-05,0.0001,0.5,762,742
2,1604,2,0,1e-05,0.0001,0.5,809,795
2,1704,2,0,1e-05,0.0001,0.5,864,840
2,1804,2,0,1e-05,0.0001,0.5,909,895
2,1904,2,0,1e-05,0.0001,0.5,952,952
3,0,2,0,1e-05,0.0001,0.5,0,0
3,104,2,0,1e-05,0.0001,0.5,49,55
3,204,2,0,1e-05,0.0001,0.5,102,102
3,304,2,0,1e-05,0.0001,0.5,153,151
3,404,2,0,1e-05,0.0001,0.5,201,203
3,504,2,0,1e-05,0.0001,0.5,252,252
3,604,2,0,1e-05,0.0001,0.5,296,308
3,704,2,0,1e-05,0.0001,0.5,345,359
3,804,2,0,1e-05,0.0001,0.5,389,415
3,904,2,0,1e-05,0.0001,0.5,436,468
3,1004,2,0,1e-05,0.0001,0.5,501,503
3,1104,2,0,1e-05,0.0001,0.5,546,558
3,1204,2,0,1e-05,0.0001,0.5,598,606
3,1304,2,0,1e-05,0.0001,0.5,645,659
3,1404,2,0,1e-05,0.0001,0.5,694,710
3,1504,2,0,1e-05,0.0001,0.5,748,756
3,1604,2,0,1e-05,0.0001,0.5,807,797
3,1704,2,0,1e-05,0.0001,0.5,856,848
3,1804,2,0,1e-05,0.0001,0.5,910,894
3,1904,2,0,1e-05,0.0001,0.5,952,952
4,0,2,0,1e-05,0.0001,0.496,0,0
4,104,2,0,1e-05,0.0001,0.496,54,50
4,204,2,0,1e-05,0.0001,0.496,110,94
4,304,2,0,1e-05,0.0001,0.496,159,145
4,404,2,0,1e-05,0.0001,0.496,213,191
4,504,2,0,1e-05,0.0001,0.496,272,232
4,604,2,0,1e-05,0.0001,0.496,326,278
4,704,2,0,1e-05,0.0001,0.496,375,329
4,804,2,0,1e-05,0.0001,0.496,417,387
4,904,2,0,1e-05,0.0001,0.496,456,448
4,1004,2,0,1e-05,0.0001,0.494,499,505
4,1104,2,0,1e-05,0.0001,0.494,545,559
4,1204,2,0,1e-05,0.0001,0.494,597,607
4,1304,2,0,1e-05,0.0001,0.492,642,662
4,1404,2,0,1e-05,0.0001,0.492,691,713
