trial,embed_dim,hidden_dim,alpha,learning_rate,premack_training,equality_accuracy,premack_accuracy
1,2,2,0.001,0.01,0,0.871,0.626
1,2,2,0.001,0.01,20,0.871,0.626
1,2,2,0.001,0.01,40,0.871,0.623
1,2,2,0.001,0.01,60,0.871,0.623
1,2,2,0.001,0.01,80,0.871,0.624
1,2,2,0.001,0.01,100,0.871,0.624
1,2,2,0.001,0.01,120,0.871,0.61
1,2,2,0.001,0.01,140,0.871,0.6
1,2,2,0.001,0.01,160,0.871,0.588
1,2,2,0.001,0.01,180,0.871,0.579
1,2,2,0.001,0.01,200,0.871,0.574
1,2,2,0.001,0.01,220,0.871,0.572
1,2,2,0.001,0.01,240,0.871,0.561
1,2,2,0.001,0.01,260,0.871,0.556
1,2,2,0.001,0.01,280,0.871,0.546
1,2,2,0.001,0.01,300,0.871,0.546
1,2,2,0.001,0.01,320,0.871,0.547
1,2,2,0.001,0.01,340,0.871,0.546
1,2,2,0.001,0.01,360,0.871,0.546
1,2,2,0.001,0.01,380,0.871,0.549
1,2,2,0.001,0.01,400,0.871,0.545
1,2,2,0.001,0.01,420,0.871,0.538
1,2,2,0.001,0.01,440,0.871,0.539
1,2,2,0.001,0.01,460,0.871,0.538
1,2,2,0.001,0.01,480,0.871,0.54
1,2,2,0.001,0.01,500,0.871,0.541
1,2,2,0.001,0.01,520,0.871,0.537
1,2,2,0.001,0.01,540,0.871,0.534
1,2,2,0.001,0.01,560,0.871,0.532
1,2,2,0.001,0.01,580,0.871,0.532
1,2,2,0.001,0.01,600,0.871,0.531
1,2,2,0.001,0.01,620,0.871,0.533
1,2,2,0.001,0.01,640,0.871,0.532
1,2,2,0.001,0.01,660,0.871,0.529
1,2,2,0.001,0.01,680,0.871,0.528
1,2,2,0.001,0.01,700,0.871,0.529
1,2,2,0.001,0.01,720,0.871,0.53
1,2,2,0.001,0.01,740,0.871,0.528
1,2,2,0.001,0.01,760,0.871,0.53
1,2,2,0.001,0.01,780,0.871,0.53
1,2,2,0.001,0.01,800,0.871,0.531
1,2,2,0.001,0.01,820,0.871,0.53
1,2,2,0.001,0.01,840,0.871,0.529
1,2,2,0.001,0.01,860,0.871,0.53
1,2,2,0.001,0.01,880,0.871,0.53
1,2,2,0.001,0.01,900,0.871,0.527
1,2,2,0.001,0.01,920,0.871,0.527
1,2,2,0.001,0.01,940,0.871,0.528
1,2,2,0.001,0.01,960,0.871,0.527
1,2,2,0.001,0.01,980,0.871,0.526
2,2,2,0.001,0.01,0,0.727,0.509
2,2,2,0.001,0.01,20,0.727,0.509
2,2,2,0.001,0.01,40,0.727,0.508
2,2,2,0.001,0.01,60,0.727,0.507
2,2,2,0.001,0.01,80,0.727,0.51
2,2,2,0.001,0.01,100,0.727,0.51
2,2,2,0.001,0.01,120,0.727,0.508
2,2,2,0.001,0.01,140,0.727,0.509
2,2,2,0.001,0.01,160,0.727,0.514
2,2,2,0.001,0.01,180,0.727,0.523
2,2,2,0.001,0.01,200,0.727,0.522
2,2,2,0.001,0.01,220,0.727,0.525
2,2,2,0.001,0.01,240,0.727,0.523
2,2,2,0.001,0.01,260,0.727,0.519
2,2,2,0.001,0.01,280,0.727,0.521
2,2,2,0.001,0.01,300,0.727,0.52
2,2,2,0.001,0.01,320,0.727,0.52
2,2,2,0.001,0.01,340,0.727,0.519
2,2,2,0.001,0.01,360,0.727,0.519
2,2,2,0.001,0.01,380,0.727,0.52
2,2,2,0.001,0.01,400,0.727,0.516
2,2,2,0.001,0.01,420,0.727,0.515
2,2,2,0.001,0.01,440,0.727,0.515
2,2,2,0.001,0.01,460,0.727,0.515
2,2,2,0.001,0.01,480,0.727,0.515
2,2,2,0.001,0.01,500,0.727,0.514
2,2,2,0.001,0.01,520,0.727,0.514
2,2,2,0.001,0.01,540,0.727,0.514
2,2,2,0.001,0.01,560,0.727,0.514
2,2,2,0.001,0.01,580,0.727,0.513
2,2,2,0.001,0.01,600,0.727,0.541
2,2,2,0.001,0.01,620,0.727,0.539
2,2,2,0.001,0.01,640,0.727,0.536
2,2,2,0.001,0.01,660,0.727,0.536
2,2,2,0.001,0.01,680,0.727,0.536
2,2,2,0.001,0.01,700,0.727,0.535
2,2,2,0.001,0.01,720,0.727,0.534
2,2,2,0.001,0.01,740,0.727,0.536
2,2,2,0.001,0.01,760,0.727,0.529
2,2,2,0.001,0.01,780,0.727,0.529
2,2,2,0.001,0.01,800,0.727,0.529
2,2,2,0.001,0.01,820,0.727,0.532
2,2,2,0.001,0.01,840,0.727,0.528
